timestamp,station,indicator,value
2026-04-01 00:00:00,HS1,氨氮,0.31
2026-04-01 01:00:00,HS1,氨氮,0.33
2026-04-01 02:00:00,HS1,氨氮,0.29
2026-04-01 03:00:00,HS1,氨氮,0.35
2026-04-01 04:00:00,HS1,氨氮,1.80
2026-04-01 05:00:00,HS1,氨氮,0.34
2026-04-01 06:00:00,HS1,氨氮,0.30
2026-04-01 07:00:00,HS1,氨氮,0.28
2026-04-01 08:00:00,HS1,氨氮,0.32
2026-04-01 09:00:00,HS1,氨氮,0.31
2026-04-01 00:00:00,HS1,pH,7.1
2026-04-01 01:00:00,HS1,pH,7.0
2026-04-01 02:00:00,HS1,pH,7.2
2026-04-01 03:00:00,HS1,pH,7.1
2026-04-01 04:00:00,HS1,pH,7.2
2026-04-01 05:00:00,HS1,pH,9.8
2026-04-01 06:00:00,HS1,pH,7.0
2026-04-01 07:00:00,HS1,pH,7.1
2026-04-01 08:00:00,HS1,pH,7.2
2026-04-01 09:00:00,HS1,pH,7.1
